33,47,45
63,63,63
129,129,129
257,257,257
513,513,513
769,769,769
511,65,257
1023,129,513
1537,257,769
65,511,257
129,1023,513
257,1537,769
129,129,1023
257,257,1537
513,513,1900
512,512,33
1024,768,47
1536,1024,63
274,868,1619
107,736,573
482,52,37
157,680,92
252,119,1019
1522,168,1888
42,889,1146
61,576,318
1584,77,294
1180,439,116
46,1488,225
1872,59,888
892,1374,35
149,41,695
139,1612,151
761,1112,87
315,1599,279
142,97,800
72,382,314
311,56,476
1355,120,127
1314,344,100
34,699,135
219,100,429
633,116,45
1801,1319,36
325,532,169
640,1614,361
161,73,91
61,52,78
1002,291,862
1375,882,40
1407,48,751
989,474,169
45,47,435
88,285,97
64,109,623
237,162,237
312,267,200
1665,695,84
120,71,144
37,675,330
183,1234,125
344,1429,314
396,147,1885
703,113,139
363,270,275
72,340,572
733,204,201
255,290,226
35,96,1808
940,219,695
78,97,269
562,37,223
1298,395,1848
49,1312,983
37,290,716
81,459,1037
824,187,42
293,71,293
98,135,299
914,1719,171
34,690,131
711,956,38
638,105,122
128,293,88
245,104,55
91,521,116
74,145,78
1784,802,61
109,193,281
159,275,719
62,318,64
288,119,856
1173,1594,172
402,65,590
773,186,122
713,691,842
106,88,91
72,34,54
243,189,1215
153,66,1436
44,131,729
121,1642,672
115,1092,1384
265,59,50
908,1207,467
760,823,86
78,1111,990
193,99,45
170,1314,75
119,38,331
42,509,242
183,94,112
1232,1494,695
78,77,144
1149,1507,84
430,154,209
74,615,785
1487,235,198
453,56,1161
742,83,168
237,1042,547
87,1559,1430
1068,243,225
171,1736,232
1612,70,37
224,74,93
38,55,197
47,110,395
95,117,153
96,324,769
37,290,288
1364,573,100
401,1270,1560
740,51,149
230,125,714
243,1742,34
872,52,270
60,155,393
1608,39,161
51,670,59
73,875,40
1194,98,1870
51,49,227
115,449,113
126,35,47
33,214,1149
291,122,212
735,1124,48
453,110,1425
623,361,491
724,44,122
39,62,1417
335,74,109
181,47,897
155,41,266
177,727,96
87,252,170
56,650,1104
958,475,223
813,78,49
76,283,77
193,889,403
74,54,34
41,95,591
952,158,40
319,1541,35
422,1886,123
363,884,491
66,799,355
479,374,938
335,1391,52
36,58,258
607,1361,34
34,156,474
166,103,75
593,386,1568
124,227,1629
563,95,633
202,47,51
249,117,95
619,94,205
259,34,859
98,64,266
78,38,52
39,139,124
77,67,1014
340,386,34
1392,38,730
467,175,128
296,348,1005
42,47,415
104,346,156
38,930,70
128,672,1341
1062,1429,121
85,212,946
458,416,577
79,328,187
1171,116,300
428,577,802
683,57,1651
38,640,113
50,143,52
78,1661,887
148,244,373
120,57,197
1016,1619,388
850,180,797
879,1281,72
277,45,349
224,362,285
133,58,121
780,101,1652
988,96,207
839,34,748
172,509,34
459,42,104
397,431,143
94,145,112
83,90,247
696,925,163
1518,135,973
894,698,1319
382,1173,100
